site,location,lat,long,APEX_region,notes
AL_transect,1,,,NE_of_emergent_bog,Need GPS coordinates!
AL_transect,2,,,NE_of_emergent_bog,
AL_transect,3,,,NE_of_emergent_bog,
AL_transect,4,,,NE_of_emergent_bog,
AL_transect,5,,,NE_of_emergent_bog,
BZBT 10,lathe,64.695716,-148.320514,beta_tower_forest,
BZBT 10,behind boardwalk,64.695716,-148.320514,beta_tower_forest,using same coordinates as lathe
BZBT 4,lathe,64.695472,-148.320433,beta_tower_forest,
BZBT 4,behind ridge,64.695472,-148.320433,beta_tower_forest,using same coordinates as lathe
BZBT 6,lathe,64.695574,-148.321539,beta_tower_forest,
BZBT 6,NW battery boxes,64.695574,-148.321539,beta_tower_forest,using same coordinates as lathe
BZFM,site,64.695983,-148.321817,NE_of_emergent_bog,general site location - SJ have chamber GPS?
BZFM,NMR borehole,64.695983,-148.321817,NE_of_emergent_bog,
BZFM,1,64.695983,-148.321817,NE_of_emergent_bog,
BZFM,2,64.695983,-148.321817,NE_of_emergent_bog,
BZFM,3,64.695983,-148.321817,NE_of_emergent_bog,
BZFM,4,64.695983,-148.321817,NE_of_emergent_bog,
BZFP,site,64.696083,-148.322083,NW_of_emergent_bog,general site location - SJ have chamber GPS?
BZFP,NMR borehole,64.696083,-148.322083,NW_of_emergent_bog,
BZFP,1,64.696083,-148.322083,NW_of_emergent_bog,
BZFP,2,64.696083,-148.322083,NW_of_emergent_bog,
BZFP,3,64.696083,-148.322083,NW_of_emergent_bog,
BZFP,4,64.696083,-148.322083,NW_of_emergent_bog,
BZGC 11,site,64.69581,-148.32182,NE_of_emergent_bog,
BZGC 11,lathe,64.69581,-148.32182,NE_of_emergent_bog,
BZMT,1,64.696729,-148.32334,tower_to_old_taj,general site location - SJ have chamber GPS?
BZMT,2,64.696729,-148.32334,tower_to_old_taj,
BZMT,3,64.696729,-148.32334,tower_to_old_taj,
BZMT,4,64.696729,-148.32334,tower_to_old_taj,
BZMT,site,64.696729,-148.32334,tower_to_old_taj,
BZYT,site,64.695867,-148.321967,emergent_bog_area,
BZYT,NMR borehole,64.695867,-148.321967,emergent_bog_area,
BZYT,1,64.695867,-148.321967,emergent_bog_area,general site location - SJ have chamber GPS?
BZYT,2,64.695867,-148.321967,emergent_bog_area,
BZYT,3,64.695867,-148.321967,emergent_bog_area,
BZYT,4,64.695867,-148.321967,emergent_bog_area,
Gamma,met_station,64.696517,-148.321582,met_station,
Permafrost_probe,1,64.696607,-148.323667,tower_to_old_taj,
Permafrost_probe,2,64.696488,-148.323168,tower_to_old_taj,
Permafrost_probe,3,64.696286,-148.322626,tower_to_old_taj,
Permafrost_probe,4,64.695948,-148.322557,NW_of_emergent_bog,
Permafrost_probe,5,64.695741,-148.322539,emergent_bog_area,
Permafrost_probe,6,64.696025,-148.322126,NW_of_emergent_bog,
Permafrost_probe,7,64.695877,-148.321758,NE_of_emergent_bog,
Permafrost_probe,8,64.695796,-148.321285,beta_tower_forest,
APEX1,NMR borehole,64.6966,-148.323624,tower_to_old_taj,
APEX2,NMR borehole,64.696488,-148.323269,tower_to_old_taj,
APEX3,NMR borehole,64.696279,-148.3226,tower_to_old_taj,
APEX4,NMR borehole,64.695961,-148.322521,NW_of_emergent_bog,
APEX6,NMR borehole,64.696031,-148.322053,NW_of_emergent_bog,
APEX7,NMR borehole,64.695863,-148.321719,NE_of_emergent_bog,
APEX9,NMR borehole,64.695892,-148.320929,beta_tower_forest,
APEX1,Seismometer,64.696607,-148.323667,tower_to_old_taj,
APEX2,Seismometer,64.696488,-148.323168,tower_to_old_taj,
APEX3,Seismometer,64.696286,-148.322626,tower_to_old_taj,
APEX4,Seismometer,64.695948,-148.322557,NW_of_emergent_bog,
APEX5,Seismometer,64.695741,-148.322539,emergent_bog_area,
APEX6,Seismometer,64.696025,-148.322126,NW_of_emergent_bog,
APEX7,Seismometer,64.695877,-148.321758,NE_of_emergent_bog,
APEX8,Seismometer,64.695796,-148.321285,beta_tower_forest,
APEX9,Seismometer,64.695894,-148.320937,beta_tower_forest,
APEX1_3,ERT electrode_0.00m,64.696611,-148.32389,tower_to_old_taj,
APEX1_3,ERT electrode_2.91m,64.6966,-148.323835,tower_to_old_taj,
APEX1_3,ERT electrode_6.13m,64.696586,-148.323776,tower_to_old_taj,
APEX1_3,ERT electrode_9.04m,64.696573,-148.323723,tower_to_old_taj,
APEX1_3,ERT electrode_12.14m,64.696562,-148.323663,tower_to_old_taj,
APEX1_3,ERT electrode_14.83m,64.696551,-148.323613,tower_to_old_taj,
APEX1_3,ERT electrode_17.80m,64.696538,-148.323558,tower_to_old_taj,
APEX1_3,ERT electrode_20.90m,64.696527,-148.323499,tower_to_old_taj,
APEX1_3,ERT electrode_24.01m,64.696513,-148.323442,tower_to_old_taj,
APEX1_3,ERT electrode_26.94m,64.6965,-148.323389,tower_to_old_taj,
APEX1_3,ERT electrode_30.01m,64.696488,-148.323332,tower_to_old_taj,
APEX1_3,ERT electrode_32.76m,64.696478,-148.323279,tower_to_old_taj,
APEX1_3,ERT electrode_35.97m,64.696462,-148.323223,tower_to_old_taj,
APEX1_3,ERT electrode_38.88m,64.696448,-148.323172,tower_to_old_taj,
APEX1_3,ERT electrode_41.84m,64.696436,-148.323116,tower_to_old_taj,
APEX1_3,ERT electrode_44.80m,64.696425,-148.32306,tower_to_old_taj,
APEX1_3,ERT electrode_48.12m,64.69641,-148.322999,tower_to_old_taj,
APEX1_3,ERT electrode_49.52m,64.696405,-148.322973,tower_to_old_taj,
