Date,Site,Location,AL_cm,beyond_probe,Data_source,Notes
10/20/2015,BZBT 10,behind boardwalk,75,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,65,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,74,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,73,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,74,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,77,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,83,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,80,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,84,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,behind boardwalk,88,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,92,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,92,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,83,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,89,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,83,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,85,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,85,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,90,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,96,,Beta Gamma AL depths v2,
10/20/2015,BZBT 10,lathe,75,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,50,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,49,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,56,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,58,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,47,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,51,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,65,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,60,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,62,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,lathe,55,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,60,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,62,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,67,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,66,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,79,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,59,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,60,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,63,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,66,,Beta Gamma AL depths v2,
10/20/2015,BZBT 4,behind ridge,69,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,NW battery boxes,66,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,NW battery boxes,65,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,NW battery boxes,67,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,NW battery boxes,66,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,NW battery boxes,66,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,NW battery boxes,71,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,62,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,55,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,53,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,55,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,60,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,55,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,56,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,61,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,56,,Beta Gamma AL depths v2,
10/20/2015,BZBT 6,lathe,58,,Beta Gamma AL depths v2,
10/20/2015,Gamma,met_station,42,,Beta Gamma AL depths v2,
10/20/2015,Gamma,met_station,43,,Beta Gamma AL depths v2,
10/20/2015,Gamma,met_station,53,,Beta Gamma AL depths v2,
10/20/2015,Gamma,met_station,50,,Beta Gamma AL depths v2,
10/20/2015,Gamma,met_station,50,,Beta Gamma AL depths v2,
10/20/2015,Gamma,met_station,51,,Beta Gamma AL depths v2,
10/20/2015,Gamma,met_station,42,,Beta Gamma AL depths v2,
10/20/2015,Gamma,met_station,47,,Beta Gamma AL depths v2,
