Site,Treatment,Chamber,in or out,year,month,day,date,hour,min,AL_inch,AL_cm,ProbeMax
Gamma-13,forest,1,in,2013,6,7,7-Jun-13,17,0,,13.5,
Gamma-13,forest,2,in,2013,6,7,7-Jun-13,17,5,,15,
Gamma-13,forest,3,in,2013,6,7,7-Jun-13,17,5,,14.5,
Gamma-13,forest,4,in,2013,6,7,7-Jun-13,17,10,,18,
Beta-13,intermediate,1,,2013,6,7,7-Jun-13,15,50,,31,
Beta-13,intermediate,2,,2013,6,7,7-Jun-13,16,0,,27.5,
Beta-13,intermediate,3,,2013,6,7,7-Jun-13,14,50,,25,
Beta-13,intermediate,4,,2013,6,7,7-Jun-13,15,40,,25,
Beta-13,intermediate,5,,2013,6,7,7-Jun-13,15,5,,26,
Beta-13,intermediate,6,,2013,6,7,7-Jun-13,15,20,,32,
Beta-13,intermediate,7,,2013,6,7,7-Jun-13,15,30,,27.5,
Beta-13,intermediate,8,,2013,6,7,7-Jun-13,15,15,,33,
Gamma-13,forest,5,in,2013,6,8,8-Jun-13,12,35,,18.5,
Gamma-13,forest,6,in,2013,6,8,8-Jun-13,12,30,,23,
Gamma-13,forest,7,in,2013,6,8,8-Jun-13,12,15,,18,
Gamma-13,forest,8,in,2013,6,8,8-Jun-13,12,20,,19.5,
Gamma-13,forest,1,in,2013,6,12,12-Jun-13,15,15,,22,
Gamma-13,forest,2,in,2013,6,12,12-Jun-13,15,20,,18,
Gamma-13,forest,3,in,2013,6,12,12-Jun-13,15,0,,20,
Gamma-13,forest,4,in,2013,6,12,12-Jun-13,14,55,,18,
Gamma-13,forest,5,in,2013,6,12,12-Jun-13,15,35,,23,
Gamma-13,forest,6,in,2013,6,12,12-Jun-13,15,30,,23.5,
Gamma-13,forest,7,in,2013,6,12,12-Jun-13,15,40,,24,
Gamma-13,forest,8,in,2013,6,12,12-Jun-13,15,45,,22.5,
Beta-13,intermediate,1,,2013,6,12,12-Jun-13,13,50,,36,
