Site,Treatment,Plot,Year,Date,Ice_Depth_cm
Permafrost Plateau ,Control,1,2008,7/7/2008,18.1
Permafrost Plateau ,Control,1,2008,7/14/2008,26.8
Permafrost Plateau ,Control,1,2008,7/15/2008,30.4
Permafrost Plateau ,Control,1,2008,8/8/2008,37.9
Permafrost Plateau ,Control,1,2008,8/11/2008,34.1
Permafrost Plateau ,Control,1,2008,8/12/2008,34.9
Permafrost Plateau ,Control,1,2008,8/13/2008,33.4
Permafrost Plateau ,Control,2,2008,7/7/2008,21.6
Permafrost Plateau ,Control,2,2008,7/14/2008,22
Permafrost Plateau ,Control,2,2008,7/15/2008,32.7
Permafrost Plateau ,Control,2,2008,8/8/2008,29.4
Permafrost Plateau ,Control,2,2008,8/11/2008,40.6
Permafrost Plateau ,Control,2,2008,8/12/2008,27.6
Permafrost Plateau ,Control,2,2008,8/13/2008,43.6
Permafrost Plateau ,Control,3,2008,7/7/2008,16
Permafrost Plateau ,Control,3,2008,7/14/2008,21.3
Permafrost Plateau ,Control,3,2008,7/15/2008,24.9
Permafrost Plateau ,Control,3,2008,8/8/2008,31.1
Permafrost Plateau ,Control,3,2008,8/11/2008,26.6
Permafrost Plateau ,Control,3,2008,8/12/2008,29.2
Permafrost Plateau ,Control,3,2008,8/13/2008,28.2
Permafrost Plateau ,Control,1,2009,5/21/2009,22
Permafrost Plateau ,Control,2,2009,5/21/2009,12.5
Permafrost Plateau ,Control,3,2009,5/21/2009,22.8
Permafrost Plateau ,Snow,1,2009,5/21/2009,10.3
Permafrost Plateau ,Snow,2,2009,5/21/2009,12.7
Permafrost Plateau ,Snow,3,2009,5/21/2009,13.5
Permafrost Plateau ,Control,3,2009,5/26/2009,11.8
Permafrost Plateau ,Snow,1,2009,5/26/2009,18.8
Permafrost Plateau ,Snow,2,2009,5/26/2009,14.4
Permafrost Plateau ,Snow,3,2009,5/26/2009,14.8
Permafrost Plateau ,Control,1,2009,5/28/2009,8.4
Permafrost Plateau ,Control,2,2009,5/28/2009,11.5
Permafrost Plateau ,Control,3,2009,5/28/2009,6
Permafrost Plateau ,Snow,1,2009,5/28/2009,21.5
Permafrost Plateau ,Snow,2,2009,5/28/2009,15.8
Permafrost Plateau ,Snow,3,2009,5/28/2009,16.8
Permafrost Plateau ,Control,1,2009,5/29/2009,14.2
Permafrost Plateau ,Control,2,2009,5/29/2009,12.75
Permafrost Plateau ,Control,3,2009,5/29/2009,14.05
Permafrost Plateau ,Snow,1,2009,5/29/2009,20.35
Permafrost Plateau ,Snow,2,2009,5/29/2009,14.3
Permafrost Plateau ,Snow,3,2009,5/29/2009,13.35
Permafrost Plateau ,Control,1,2009,6/2/2009,15.3
Permafrost Plateau ,Control,2,2009,6/2/2009,13.5
Permafrost Plateau ,Control,3,2009,6/2/2009,14.2
Permafrost Plateau ,Snow,1,2009,6/2/2009,20.3
Permafrost Plateau ,Snow,2,2009,6/2/2009,15
Permafrost Plateau ,Snow,3,2009,6/2/2009,12.6
Permafrost Plateau ,Control,1,2009,6/3/2009,4.6
Permafrost Plateau ,Control,2,2009,6/3/2009,12.8
Permafrost Plateau ,Control,3,2009,6/3/2009,18
Permafrost Plateau ,Snow,1,2009,6/3/2009,16.7
Permafrost Plateau ,Snow,2,2009,6/3/2009,26
Permafrost Plateau ,Snow,3,2009,6/3/2009,13.9
Permafrost Plateau ,Control,1,2009,6/4/2009,20.5
Permafrost Plateau ,Control,2,2009,6/4/2009,23.4
Permafrost Plateau ,Control,3,2009,6/4/2009,16.9
Permafrost Plateau ,Snow,1,2009,6/4/2009,21.6
Permafrost Plateau ,Snow,2,2009,6/4/2009,16.4
Permafrost Plateau ,Snow,3,2009,6/4/2009,17.4
Permafrost Plateau ,Control,1,2009,6/5/2009,19.6
Permafrost Plateau ,Control,2,2009,6/5/2009,13.3
Permafrost Plateau ,Control,3,2009,6/5/2009,12.5
Permafrost Plateau ,Snow,1,2009,6/5/2009,20.4
Permafrost Plateau ,Snow,2,2009,6/5/2009,15.7
Permafrost Plateau ,Snow,3,2009,6/5/2009,15.7
Permafrost Plateau ,Control,1,2009,6/8/2009,18.4
Permafrost Plateau ,Control,2,2009,6/8/2009,11.6
Permafrost Plateau ,Control,3,2009,6/8/2009,12.4
Permafrost Plateau ,Control,4,2009,6/8/2009,22.4
Permafrost Plateau ,Control,5,2009,6/8/2009,18.3
Permafrost Plateau ,Control,6,2009,6/8/2009,27.7
Permafrost Plateau ,Snow,1,2009,6/8/2009,13.8
Permafrost Plateau ,Snow,2,2009,6/8/2009,15
Permafrost Plateau ,Snow,3,2009,6/8/2009,17.2
Permafrost Plateau ,Snow,4,2009,6/8/2009,18.3
Permafrost Plateau ,Snow,5,2009,6/8/2009,17.8
Permafrost Plateau ,Snow,6,2009,6/8/2009,23.4
Permafrost Plateau ,Control,1,2009,6/9/2009,14.5
